name,genre,cleanGenre,kmeans_label
The Pretender,"alt-rock, alternative, grunge, metal",alt-rock,1
In The Army Now,"blues, british, hard-rock",british,1
Bleed The Freak,grunge,grunge,1
Cocaine,blues,blues,1
Moonshine,"dance, pop",dance,1
Stay with Me,psych-rock,psych-rock,1
Heaven's On Fire,hard-rock,hard-rock,1
Angel,disco,disco,1
I'm Sorry For You My Friend,honky-tonk,honky-tonk,1
Foxey Lady,psych-rock,psych-rock,1
Highway Don't Care,country,country,1
Master Of Puppets,"hard-rock, metal, rock",rock,1
Take A Chance On Me,swedish,swedish,1
Vienna,piano,piano,1
Epic,"alt-rock, alternative, funk, hard-rock, metal",funk,1
Can't Stop Lovin' You,"hard-rock, metal",hard-rock,1
Payphone,pop,pop,1
The Hand That Feeds,industrial,industrial,1
Candle In The Wind,piano,piano,1
Frances Farmer Will Have Her Revenge On Seattle,grunge,grunge,1
Centuries,"emo, rock",emo,1
Dirty Work,psych-rock,psych-rock,1
Don't Leave Without Taking Your Silver,honky-tonk,honky-tonk,1
Heart Attack,latin,latin,1
Love Yourself,pop,pop,1
Won't You Sometimes Think Of Me,honky-tonk,honky-tonk,1
Can Opener,grunge,grunge,1
Mi Remember,"dancehall, j-dance",dancehall,1
Time After Time,disco,disco,1
You Know How We Do It,funk,funk,1
All You Need Is Love,"british, psych-rock",british,1
"Hey, Soul Sister",rock,rock,1
Gimme All Your Lovin',"blues, hard-rock",blues,1
Crazy,hard-rock,hard-rock,1
Shoot The Moon,"j-pop, j-pop, jazz",j-pop,1
The Hardest Button to Button,"blues, garage",garage,1
Since You Been Gone,"blues, hard-rock",blues,1
I Only Want To Be With You,british,british,1
Run 2,synth-pop,synth-pop,1
Clone Your Lover,industrial,industrial,1
I'm Not The Only One,"dance, dance, pop, pop",dance,1
Heathens,rock,rock,1
Photograph,hard-rock,hard-rock,1
Changing Colours,opera,opera,1
Gimme More,dance,dance,1
Whenever You Need Somebody,synth-pop,synth-pop,1
Simple Man,"blues, country, hard-rock",country,1
It's Alright,new-age,new-age,1
Wicked Game,goth,goth,1
BURN IT DOWN,"alternative, grunge, metal",alternative,1
Angels,goth,goth,1
Oh L'Amour,synth-pop,synth-pop,1
Ooh La La,psych-rock,psych-rock,1
