name,genre,cleanGenre,kmeans_label
Deacon Blues,psych-rock,psych-rock,2
You Know You're Right,grunge,grunge,2
Love Story,pop,pop,2
Pennyroyal Tea,grunge,grunge,2
Best Guitar Picker,honky-tonk,honky-tonk,2
Hello,"british, soul",british,2
Eversleeping,"goth, opera",goth,2
Discipline,industrial,industrial,2
Wish You Were Here,"grunge, metal",metal,2
The Good Life,power-pop,power-pop,2
Comfortably Numb,rock,rock,2
Fool for Your Loving,"blues, blues, british, british, hard-rock, hard-rock, metal, metal",british,2
I Started A Joke,disco,disco,2
Vanilla Twilight,indie-pop,indie-pop,2
(I'm) Going Home,honky-tonk,honky-tonk,2
Move Away,synth-pop,synth-pop,2
Drift Away,country,country,2
Lay Down Beside Me,bluegrass,bluegrass,2
Friend of the Devil,psych-rock,psych-rock,2
Baby It's Cold Outside,"blues, blues, jazz, jazz",jazz,2
I Will Survive,disco,disco,2
Sunrise,"j-pop, jazz",j-pop,2
All I Ask,"british, soul",british,2
As Long As I Live,honky-tonk,honky-tonk,2
Dumb,grunge,grunge,2
Leave Out All The Rest,grunge,grunge,2
Free Bird,"blues, hard-rock",blues,2
Sometimes I Feel Like Screaming,psych-rock,psych-rock,2
Love Hurts,grunge,grunge,2
Amazing,hard-rock,hard-rock,2
Love Runs Out,piano,piano,2
Eden,trip-hop,trip-hop,2
I Don't Care,emo,emo,2
Maybellene,rockabilly,rockabilly,2
Wuthering Heights,piano,piano,2
About A Girl,"alt-rock, alternative, grunge",alt-rock,2
No Good Deed,show-tunes,show-tunes,2
Memories,goth,goth,2
Wish,industrial,industrial,2
Sober,metal,metal,2
Merry Christmas Baby,"blues, blues, blues, blues, blues, blues, soul, soul, soul, soul, soul, soul",soul,2
The Longest Time,piano,piano,2
Voodoo Child (Slight Return),"blues, hard-rock, metal, psych-rock",blues,2
Mamma Mia,swedish,swedish,2
On The Banks Of The Old Pontchartrain,honky-tonk,honky-tonk,2
"Tonight, Not Again",acoustic,acoustic,2
Cloudbusting,piano,piano,2
Feel Again,piano,piano,2
Mr. Moustache,grunge,grunge,2
Don't Go Breaking My Heart,piano,piano,2
Bad Medicine,metal,metal,2
I Kissed A Girl,dance,dance,2
Breed,grunge,grunge,2
Girls Chase Boys,acoustic,acoustic,2
Keep Breathing,acoustic,acoustic,2
Just the Two of Us,jazz,jazz,2
Detroit Rock City,"hard-rock, metal",hard-rock,2
Woman In Chains,synth-pop,synth-pop,2
Voices,power-pop,power-pop,2
Downer,grunge,grunge,2
Set Fire to the Rain,british,british,2
Hanginaround,"alt-rock, alternative, rock",alt-rock,2
Diary of My Mind,honky-tonk,honky-tonk,2
