name,genre,cleanGenre,kmeans_label
How Can You Mend A Broken Heart,disco,disco,0
mOBSCENE,industrial,industrial,0
Ancient Words,world-music,world-music,0
Deep Six,industrial,industrial,0
ROADS UNTRAVELED,"alternative, grunge, metal",alternative,0
War Pigs,"alt-rock, alternative, funk, hard-rock, metal",funk,0
Red Red Wine,reggae,reggae,0
A Home In Heaven,honky-tonk,honky-tonk,0
Long Road To Ruin,grunge,grunge,0
"Baby, Let's Play House",rockabilly,rockabilly,0
First Time,"hard-rock, hard-rock, hard-rock, hard-rock",hard-rock,0
Symbolic,death-metal,death-metal,0
Wind of Change,"german, hard-rock, metal",german,0
Voglio restare cosi,opera,opera,0
High Hopes,psych-rock,psych-rock,0
Heal the World,soul,soul,0
Lean on Me,soul,soul,0
Spiders,metal,metal,0
Plateau,grunge,grunge,0
Any Old Sunday,"disco, funk, soul",funk,0
Send Me An Angel,"german, hard-rock, metal",german,0
Someday At Christmas,"funk, indie, soul",indie,0
Frances Farmer Will Have Her Revenge On Seattle,grunge,grunge,1
Everybody Have Fun Tonight,synth-pop,synth-pop,0
Silent Night,"funk, funk, funk, soul, soul, soul",funk,0
Into The Void,industrial,industrial,0
Sowing The Seeds Of Love,synth-pop,synth-pop,0
Goodbye Blue Sky,psych-rock,psych-rock,0
Mad About You,"electronic, trip-hop",electronic,0
Battery,"hard-rock, metal",hard-rock,0
The Logical Song,piano,piano,0
Fly Like An Eagle,psych-rock,psych-rock,0
Final Masquerade,"alternative, grunge, metal",alternative,0
Sex,industrial,industrial,0
Everybody Wants To Rule The World,synth-pop,synth-pop,0
Clone Your Lover,industrial,industrial,1
With Tears In My Eyes,honky-tonk,honky-tonk,0
The Fight Song,industrial,industrial,0
Saturn,"funk, indie, soul",indie,0
Hardwired,"hard-rock, metal",hard-rock,0
Right To Know,synth-pop,synth-pop,0
Gimme More,dance,dance,1
Angels,goth,goth,1
Six More Miles (To The Graveyard),honky-tonk,honky-tonk,0
Shandi,"hard-rock, metal, rock",rock,0
