name,genre,cleanGenre,kmeans_label
How Can You Mend A Broken Heart,disco,disco,0
Hope Leaves,death-metal,death-metal,0
mOBSCENE,industrial,industrial,0
Ancient Words,world-music,world-music,0
Deep Six,industrial,industrial,0
ROADS UNTRAVELED,"alternative, grunge, metal",alternative,0
War Pigs,"alt-rock, alternative, funk, hard-rock, metal",funk,0
Red Red Wine,reggae,reggae,0
A Home In Heaven,honky-tonk,honky-tonk,0
Merry Christmas Darling,"rock, rock, rock, rock, rock",rock,0
Long Road To Ruin,grunge,grunge,0
"Baby, Let's Play House",rockabilly,rockabilly,0
First Time,"hard-rock, hard-rock, hard-rock, hard-rock",hard-rock,0
Symbolic,death-metal,death-metal,0
Dead Man's Party,"synth-pop, synth-pop, synth-pop, synth-pop, synth-pop",synth-pop,0
Calendar Girl,rockabilly,rockabilly,0
Wind of Change,"german, hard-rock, metal",german,0
It Lives,death-metal,death-metal,0
Voglio restare cosi,opera,opera,0
High Hopes,psych-rock,psych-rock,0
Heal the World,soul,soul,0
Lean on Me,soul,soul,0
Sweet Child O' Mine,"hard-rock, metal",hard-rock,0
Spiders,metal,metal,0
Dear Brother,honky-tonk,honky-tonk,0
Plateau,grunge,grunge,0
Any Old Sunday,"disco, funk, soul",funk,0
Send Me An Angel,"german, hard-rock, metal",german,0
Someday At Christmas,"funk, indie, soul",indie,0
Check My Brain,grunge,grunge,0
Everybody Have Fun Tonight,synth-pop,synth-pop,0
Goodbye Milky Way,new-age,new-age,0
Silent Night,"funk, funk, funk, soul, soul, soul",funk,0
Into The Void,industrial,industrial,0
Brown Girl in the Ring,disco,disco,0
Sowing The Seeds Of Love,synth-pop,synth-pop,0
Take Me I'm Yours,"power-pop, synth-pop",power-pop,0
Hot Stuff,disco,disco,0
I've Just Told Mama Goodbye,honky-tonk,honky-tonk,0
Goodbye Blue Sky,psych-rock,psych-rock,0
Julia Dream,psych-rock,psych-rock,0
Mad About You,"electronic, trip-hop",electronic,0
Battery,"hard-rock, metal",hard-rock,0
The Logical Song,piano,piano,0
Fly Like An Eagle,psych-rock,psych-rock,0
I Believe,opera,opera,0
Final Masquerade,"alternative, grunge, metal",alternative,0
Sex,industrial,industrial,0
Everybody Wants To Rule The World,synth-pop,synth-pop,0
With Tears In My Eyes,honky-tonk,honky-tonk,0
The Fight Song,industrial,industrial,0
Saturn,"funk, indie, soul",indie,0
Hardwired,"hard-rock, metal",hard-rock,0
Right To Know,synth-pop,synth-pop,0
A Horse with No Name,"country, folk",folk,0
White Christmas,soul,soul,0
Six More Miles (To The Graveyard),honky-tonk,honky-tonk,0
Shandi,"hard-rock, metal, rock",rock,0
Someone Else's Heart,power-pop,power-pop,0
Our Last Summer,swedish,swedish,0
Higher Love,edm,edm,0
To Cut a Long Story Short,synth-pop,synth-pop,0
Two Words,show-tunes,show-tunes,0
At Last,"blues, blues, jazz, jazz, soul, soul",soul,0
Summertime,psych-rock,psych-rock,0
"Big, Blonde and Beautiful","j-pop, new-age",j-pop,0
Winter Time,psych-rock,psych-rock,0
Silver Bells,"funk, funk, funk, indie, indie, indie, soul, soul, soul",indie,0
Aerials,"alternative, metal",alternative,0
All Summer Long,"alternative, metal",alternative,0
"Kiss Me Babe, It's Christmas Time","indie-pop, indie-pop, indie, indie, rock, rock",indie-pop,0
The First Time Ever I Saw Your Face,soul,soul,0
